customerid,customer_name,city,email,gender
1,Odelinda,Gävle,obagley0@technorati.com,Polygender
2,Griffie,Wanfang,gpersich1@qq.com,Genderfluid
3,Karita,Ketapang,kbuswell2@archive.org,Polygender
4,Ethan,Järvakandi,ehoxey3@slashdot.org,Bigender
5,Leisha,Devitsa,lkingsbury4@si.edu,Genderfluid
6,Alice,Villa Yapacaní,apainter5@umich.edu,Polygender
7,Pascal,Chalamarca,pgwinnett6@ucoz.ru,Polygender
8,Stavros,Bingawan,sgauch7@time.com,Genderqueer
9,Cori,Santisimo Rosario,cquinton8@photobucket.com,Bigender
10,Sherwynd,Pokrovka,ssizeland9@google.com,Bigender
